,smiles,docking_score
0,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12,-10.99098
1,O=C1NC(=O)c2cc(Oc3ccc4ccccc4c3)ccc12,-10.941980000000001
2,O=C1OCc2cc(OCc3ccc(C(F)(F)F)cc3)ccc12,-10.77214
3,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1cccc(F)c1Cl,-10.710230000000001
4,Cc1ccc(COc2ccc3c(c2)C(=O)OC3)cc1,-10.62779
5,O=C1Nc2ccc(CCc3ccccc3)cc2C1=O,-10.59189
6,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O,-10.58831
7,O=C1NC(=O)c2cc(Oc3ccc(Br)cc3)ccc12,-10.51638
8,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(F)cccc1F,-10.505180000000001
9,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c12,-10.49114
10,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(F)ccc(F)c1Cl,-10.42328
11,Cc1cc(=O)oc2cc3oc4c(c3cc12)CCCC4,-10.357999999999999
12,Cc1ccc(C2CC(=NN2C)c2ccccc2)cc1,-10.34436
13,O=c1ccoc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12,-10.29842
14,Cc1ccc(c2cc3cc(C(=O)O)c(C(=O)O)cc3n2O)cc1,-10.28271
15,O=C1OCc2ccc(OCc3ccc(Br)cc3)cc12,-10.2822
16,O=C1OCc2ccc(OCc3ccc(Cl)cc3)cc12,-10.27468
17,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(F)cccc1Cl,-10.27109
18,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc12,-10.25198
19,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-10.25196
20,O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,-10.24053
21,O=C1OCc2ccc(OCc3ccc(F)cc3)cc12,-10.240260000000001
22,O=C1Nc2cc(Oc3ccccc3)ccc2C1=O,-10.179030000000001
23,O=C1OCc2ccc(OCc3ccc(I)cc3)cc12,-10.14777
24,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,-10.14375
25,CC(=CCc1cc(O)c2oc3c(O)cccc3c(=O)c2c1O)C,-10.13118
26,NC(=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,-10.12151
27,NC1CC(N[C@H]2C[C@@H]2c2ccccc2)c2ccccc12,-10.10114
28,Cc1ccc(C2CC(=NN2C)c2ccc(O)cc2)cc1,-10.082889999999999
29,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,-10.07783
30,O=C1NC(=O)c2cc(Sc3ccccc3)ccc12,-10.0635
31,COc1ccc(c2cc(=O)c3c(O)cc(O)cc3o2)cc1,-10.05745
32,Nc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,-10.053189999999999
33,O=C1OCc2cc(OCc3ccc(Cl)cc3)ccc12,-10.01529
34,NCCc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,-10.00409
35,O=C1Nc2ccc(OCc3ccccc3)cc2C1=O,-10.000739999999999
36,NCc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,-10.000010000000001
37,O=C1NC(=O)c2cc(SCc3ccc(Cl)cc3)ccc12,-9.98981
38,O=C1NC(=O)c2cc(OCc3ccccc3)ccc12,-9.986289999999999
39,O=C1NC(=O)c2cc(Sc3ccc(Cl)cc3)ccc12,-9.96752
40,O=C1OCc2cc(OCc3ccc(F)cc3)ccc12,-9.957189999999999
41,O=C1OCc2ccc(OCc3ccccc3)cc12,-9.952860000000001
42,O=C1NC(=O)c2cc(Oc3ccccc3)ccc12,-9.94186
43,O=c1ccoc2cc(OCc3ccc(C(F)(F)F)cc3)ccc12,-9.9305
44,CC(=O)Nc1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,-9.92789
45,O=C1NC(=O)c2cc(SCc3ccc(F)cc3)ccc12,-9.927769999999999
46,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c12,-9.9042
47,O=C1NC(=O)c2cc(SCc3ccc(Br)cc3)ccc12,-9.894689999999999
48,Cc1cccc(C)c1C(=O)NCc1ccc(c2cc[nH]c(=O)c2)cc1,-9.879769999999999
49,Cc1cccc(COc2ccc3occc(=O)c3c2)c1,-9.87514
50,O=C1NC(=O)c2cc(SC3CCCCC3)ccc12,-9.86294
51,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O,-9.85205
52,O=C1Nc2cc(OCc3ccccc3)ccc2C1=O,-9.83255
53,O=c1ccoc2ccc(OCc3cccc(F)c3)cc12,-9.82789
54,COc1ccc(CSc2ccc3c(c2)C(=O)NC3=O)cc1,-9.82509
55,O=C(NCc1ccc(c2cc[nH]c(=O)c2)cc1)c1c(Cl)cccc1Cl,-9.80289
56,NCCc1ccc(OCc2ccccc2C(F)(F)F)cc1,-9.79562
57,Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,-9.79416
58,NCCc1ccc(OCc2cccc(C(F)(F)F)c2)cc1,-9.780389999999999
59,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O,-9.77941
