,smiles,ic50
0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0.0049
1,COc1ccc2c(c1)-c1nnc(-c3cccc(C(F)(F)F)c3)cc1C2=O,0.1
2,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,0.389
3,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,0.6607
4,C#CCN(C)CC(=C)c1ccoc1,0.72
5,COc1cc2c3c(nccc3c1)-c1ccccc1C2=O,0.83
6,C#CCN(C)CC(=C)c1ccc(Br)cc1,0.85
7,C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1,1.0
8,C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1,1.4
9,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1,1.445
10,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,1.8
11,C#CCNCC(=C)c1cccc(OCc2cccc(F)c2)c1,1.9
12,C#CCN(C)CC(=C)c1ccc(F)c(F)c1,2.3
13,CN(C)c1ccc(-c2nnc3c(C(=O)c4ccccc4)nc4ccccc4n23)cc1,2.7
14,O=C(c1ccccc1)c1nc2ccccc2n2c(-c3ccccc3)nnc12,2.7
15,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc(O)cc1,2.8
16,Cc1ccc(NC(=S)N/N=C/c2ccc(-n3nc4c(c3C)N(C)S(=O)(=O)c3ccccc3-4)cc2)cc1,3.0
17,C#CCN(C)CC(=C)c1cccs1,3.4
18,Oc1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,3.4
19,C#CCN(C)CC(=C)c1ccc(F)cc1,3.7
20,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,3.78
21,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,3.8
22,CC(=O)NC[C@H]1CN(c2ccc(N3C=CC(=O)CC3)c(F)c2)C(=O)O1,3.8
23,C#CCN(C)CC(=C)c1ccc(Cl)cc1,3.9
24,COc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,4.0
25,C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1,4.1
26,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,4.2
27,C#CCNCc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,5.495
28,CN1C(=N)N(C)/C(=C/c2c[nH]c3cc(Br)ccc23)C1=O,5.6
29,Clc1ccccc1/C=N/Nc1nc2ccccc2nc1Cc1ccccc1,5.8
30,C#CCN(C)CC(=C)c1cccc(OCc2ccccc2)c1,6.0
31,Clc1ccccc1-c1nnc2c(Cc3ccccc3)nc3ccccc3n12,6.1
32,COc1ccc(-c2nnc3c(C(=O)c4ccccc4)nc4ccccc4n23)cc1,6.2
33,C#CCNCC(=C)c1cccc(COc2ccccc2)c1,6.3
34,C#CCN(C)CC(=C)c1ccc(F)c(Cl)c1,6.3
35,C(=N/Nc1nc2ccccc2nc1Cc1ccccc1)\c1ccc2c(c1)OCO2,6.3
36,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,6.3
37,C#CCN(C)CC(=C)c1cccc(OCc2cccc(OC)c2)c1,6.6
38,N#Cc1ccc(OCc2ccc(Br)cc2)cc1C#N,6.6
39,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1,6.607
40,COc1ccc(-c2nnc3c(C(=O)c4ccccc4)nc4ccccc4n23)cc1OC,6.8
41,Cc1cc(=O)oc2c(C)c(OC3CCCC3=O)ccc12,7.16
42,C#CCN(C)CC(=C)c1cccc(CNc2ccccc2)c1,7.4
43,C#CCN(C)CC(=C)c1cccc(F)c1,7.6
44,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,8.0
45,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,8.0
46,Cn1cc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc2n1,8.128
47,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,8.6
48,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,8.8
49,O=[N+]([O-])c1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,8.8
50,C#CCN(C)CC(=C)c1cccc(COc2ccc(OC)cc2)c1,9.0
51,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,9.0
52,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,9.0
53,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,9.0
54,CN(C)c1ccc(-c2nnc3c(C(=O)c4ccccc4)nc4ccccc4n23)cc1Br,9.6
55,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,9.64
56,Brc1cccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)c1,9.8
57,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc(N)cc1,9.8
58,Cc1ccccc1NC(=S)N/N=C/c1ccc(-n2nc3c(c2C)N(C)S(=O)(=O)c2ccccc2-3)cc1,10.0
59,Cc1cccc(C)c1NC(=S)N/N=C/c1ccc(-n2nc3c(c2C)N(C)S(=O)(=O)c2ccccc2-3)cc1,10.0
60,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,10.0
61,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,10.0
62,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,10.0
63,Cc1c(C)c2ccc(OS(=O)(=O)c3ccc([N+](=O)[O-])cc3)cc2oc1=O,10.7
64,Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)c(F)c1,11.0
65,C#CCN(C)Cc1ccccc1,11.52
66,Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)cc1,12.0
67,O=C1C=CN(c2c(F)cc(N3C[C@H](CNc4ccon4)OC3=O)c(F)c2F)CC1,12.3
68,COC1=Cc2ccnc3c2c(cc2ccccc23)C1=O,13.0
69,C#CCN(C)CC(=C)c1cccc(OCc2ccc(F)cc2)c1,13.0
70,C#CCN(C)CC(=C)c1cccc(COc2cccc(F)c2)c1,14.0
71,Cc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,14.0
72,COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2,14.0
73,C#CCN(C)CC(=C)c1ccc(F)c(C)c1,17.0
74,C#CCN(C)CC(=C)c1ccc(C)c(C)c1,18.0
75,C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3cc(Br)ccc23)N1C,18.0
76,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,19.95
77,C#CCN(C)CC(=C)c1cccc(COc2ccccc2)c1,20.0
78,C#CCN(C)CC(=C)c1cccc(COc2cccc(OC)c2)c1,20.0
79,N[C@]1(CCc2ccccc2)C[C@H]1c1ccccc1,21.4
80,O=C(c1ccccc1)c1nc2ccccc2n2c(-c3ccc([N+](=O)[O-])cc3)nnc12,22.0
81,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,24.0
82,N#Cc1cccc(COc2ccc3c(c2)CCCC3=O)c1,24.0
83,COC(=O)NC[C@H]1CN(c2cc(F)c(N3C=CC(=O)CC3)c(F)c2F)C(=O)O1,24.4
84,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2cccc(NC(=O)OCc3ccccc3)c2)cc1,25.0
85,N[C@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,25.0
86,CCN(C)c1ccc(/C=C2\Oc3cc(O)cc(O)c3C2=O)cc1,27.9
87,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,28.84
88,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2,28.84
89,COc1cc(/C(C)=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc(OC)c1OC,29.0
90,C/N=C1\NC(=O)/C(=C\c2c[nH]c3cc(Br)ccc23)N1C,29.0
91,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(N3CCOC3=O)cc2)cc1,29.7
92,C#CCN(C)CC(=C)c1cccc(Cl)c1,30.0
93,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,30.2
94,NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,31.0
95,C#CCN(C)CC(=C)Cc1ccc(F)c(F)c1,34.0
96,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccccc23)C1=O,35.0
97,O=C1c2ccccc2-c2nccc3cc(O)cc1c23,35.0
98,Cn1c(-c2cccs2)c(Cl)c2cc(C#N)c(C#N)cc21,35.0
99,N[C@@H]1C[C@@H]1c1ccc(NC(=O)c2ccccc2)cc1,37.0
100,C#CCN(C)Cc1ccc(O)c2ncccc12,37.0
101,C#CCN(C)Cc1ccnc2c(O)cccc12,37.0
102,COc1ccc2c(c1)C(=O)c1cc(-c3cccc(C(F)(F)F)c3)nnc1-2,38.0
103,N[C@H]1C[C@@H]1c1ccc(NC(=O)c2ccccc2)cc1,39.0
104,COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,40.0
105,Cc1cc(=O)oc2cc(OC3CCCC3=O)ccc12,40.0
106,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(-c3ccoc3)cc2)cc1,40.0
107,COc1cc2c3c(c1O)C(=O)c1ccccc1C3=NCC2,44.0
108,C#CCN(C)CC(=C)c1ccc(COc2ccccc2)cc1,50.0
109,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,50.0
110,C#CCN(C)CC(=C)c1cccc(OCc2ccc(OC)cc2)c1,50.0
111,C#CCN(C)CC(=C)c1cccc(OCc2cccc(F)c2)c1,50.0
112,Cc1cc(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,50.0
113,CN1C(=N)N(C)/C(=C/c2c[nH]c3c(Br)cccc23)C1=O,52.0
114,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1,54.8
115,COc1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1OC,56.0
116,CC(=O)NC[C@H]1CN(c2cc(F)c(N3C=CC(=O)CC3)c(F)c2F)C(=O)O1,56.9
117,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,59.0
118,C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,59.9
119,C#CCN(C)CC(=C)c1ccccc1,60.0
120,O=C(Cl)C1=Cc2ccccc2CC1=O,60.26
121,CC(=O)Nc1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,62.7
122,COc1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,63.0
123,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1cccs1,64.0
124,C#CCN(C)CC(=C)c1cccc(OC)c1,65.0
125,CCCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,66.1
126,C#CCCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,66.8
127,C#CCN(C)[C@H](C)Cc1ccccc1,67.25
128,O=C(O)c1cc2cc([N+](=O)[O-])ccc2oc1=O,67.61
129,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,67.61
130,Cn1c(=O)c2c(nc(OCc3cccc(Br)c3)n2C)n(C)c1=O,68.0
131,N[C@H]1C[C@H]1c1cccc(NC(=O)c2ccccc2)c1,70.0
132,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,70.0
133,C[C@]1(N)C[C@@H]1c1ccccc1,70.0
134,Cc1ccsc1/C=N/Nc1nc2ccccc2nc1Cc1ccccc1,74.0
135,COC(=O)c1cc2ccc(OCCc3ccc(Cl)cc3)cc2oc1=O,74.8
136,Clc1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,76.0
137,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,77.2
138,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccccc1,79.0
139,C#CCN(C)CCc1ccc(O)c2ncccc12,80.0
140,C(=N/Nc1nc2ccccc2nc1Cc1ccccc1)\c1ccccc1,81.0
141,c1ccc(Cc2nc3ccccc3n3c(-c4ccccc4)nnc23)cc1,82.0
142,N[C@@]1(c2ccccc2)C[C@H]1c1ccccc1,82.8
143,CN(C)c1ccc(/C=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,83.0
144,COc1ccccc1/C=N/Nc1nc2ccccc2nc1Cc1ccccc1,83.0
145,C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3ccc(Br)cc23)N1C,85.0
146,C=NNc1nc2ccccc2nc1Cc1ccccc1,86.0
147,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccc(C)cc1,86.0
148,c1ccc(Cc2nc3ccccc3n3cnnc23)cc1,87.0
149,O=C(c1ccccc1)c1nc2ccccc2n2c(-c3ccccc3Cl)nnc12,88.0
150,COc1ccc(/C(C)=N/Nc2nc3ccccc3nc2Cc2ccccc2)cc1,89.0
151,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2cccc(N3CCOC3=O)c2)cc1,90.5
152,C/C(=N\Nc1nc2ccccc2nc1Cc1ccccc1)c1ccccn1,91.0
153,N[C@@]1(c2ccccc2)C[C@@H]1c1ccccc1,94.0
154,O=c1ccoc2ccc(OCc3ccc(Br)cc3)cc12,95.0
155,O=C1OCc2ccc(OCCCc3ccccc3)cc21,96.0
156,C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3ccccc23)N1C,98.0
157,C#CCNc1nc(NCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,100.0
158,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,100.0
