,smiles,ki
0,C1=C(c2ccccc2)CCN(C2CC2)C1,0.05
1,C1=C(c2ccccc2-c2ccccc2)CCN(C2CC2)C1,0.22
2,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0.3
3,C1=C(c2ccc3ccccc3c2)CCN(C2CC2)C1,0.38
4,C1=C(c2cccc3ccccc23)CCN(C2CC2)C1,0.4
5,C1=C(c2cccc(-c3ccccc3)c2)CCN(C2CC2)C1,0.68
6,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,2.0
7,Cc1nccc2c1[nH]c1cc(OCCCC(F)(F)F)ccc12,3.6
8,Cc1nccc2c1[nH]c1cc(OCC(C)C)ccc12,3.9
9,Cc1ccc(C2CC(c3ccccc3O)=NN2C(=O)Oc2ccccc2)cc1,4.0
10,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,4.0
11,Cc1nccc2c1[nH]c1cc(OCC3CCCCC3)ccc12,4.3
12,Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)c(F)c1,4.4
13,Cc1nccc2c1[nH]c1cc(OCCc3ccccc3)ccc12,5.0
14,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,5.0
15,COc1ccc2c(c1)[nH]c1c(C)nccc12,5.0
16,C=CCOc1ccc2c(c1)[nH]c1c(C)nccc12,5.0
17,Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)cc1,6.6
18,CCc1cccc2c1S(=O)(=O)c1ccccc1O2,10.0
19,Cc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(O)cc2)cc1,10.0
20,Cc1cccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)c1,10.0
21,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccccc2)cc1,12.0
22,Cc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)cc1,12.0
23,COc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)cc1,12.0
24,Cc1nccc2c1[nH]c1cc(OCc3ccccc3)ccc12,12.6
25,O=[N+]([O-])c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,17.08
26,Cc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,18.0
27,CCCCSc1ccc(C[C@H](C)N)cc1,22.0
28,Cn1c(=O)c2c(nc(OCc3cccc(Br)c3)n2C)n(C)c1=O,23.0
29,Cc1nccc2c1[nH]c1cc(OCc3cccnc3)ccc12,24.9
30,O=C1OCc2ccc(OCCCc3ccccc3)cc21,25.0
31,N#Cc1cccc(COc2ccc3c(c2)CCCC3=O)c1,25.0
32,Cc1nccc2c1[nH]c1cc(OCCO)ccc12,28.4
33,COCCOc1ccc2c(c1)[nH]c1c(C)nccc12,29.5
34,O=C(Oc1ccccc1)N1N=C(c2ccccc2O)CC1c1ccc(Cl)cc1,30.0
35,CCCSc1ccc(C[C@H](C)N)cc1,30.0
36,O=[N+]([O-])c1cccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c1,32.16
37,Cc1ccc(/C=C/C(=N\NC(=O)c2cccs2)c2ccc(Cl)cc2)cc1,34.0
38,COc1ccc(/C=C/C(=N\NC(=O)c2ccc(OC)cc2)c2ccc(Cl)cc2)cc1,34.0
39,Cc1nccc2c1[nH]c1cc(OCc3ccncc3)ccc12,35.4
40,Cn1c(=O)c2c(nc(OCc3cccc(Cl)c3)n2C)n(C)c1=O,36.0
41,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccccc2)cc1,40.0
42,COc1ccc(C(/C=C/c2ccc(C)cc2)=N\NC(=O)c2snnc2C)cc1,41.0
43,COc1ccc(/C=C/C(=N\NC(=O)c2ccc(OC)cc2)c2ccc(Br)cc2)cc1,45.0
44,Cn1c(=O)c2c(nc(OCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O,51.0
45,Cc1ccc(NC(=O)c2cc(=O)c3cc(/C=C/C(=O)OCCN(C)C)ccc3o2)cc1,57.0
46,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc21,58.0
47,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,59.2
48,COc1cc(C2=NN(S(=O)(=O)c3ccc(C)cc3)C(c3ccccc3)C2)ccc1O,60.0
49,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O,61.0
50,Oc1ccccc1C1CC(c2c3ccccc3cc3ccccc23)=NN1,69.91
51,CCSc1ccc(C[C@H](C)N)cc1,75.0
52,COc1cc(C2=NNC(c3ccc(Cl)cc3)C2)ccc1O,80.0
53,Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c(O)c1,81.54
54,COc1ccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccc(O)cc2)cc1,90.0
55,COc1ccc(/C=C/C(=N\NC(=O)c2ccco2)c2ccc(Br)cc2)cc1,91.0
56,O=C1/C(=C/c2ccc(O)cc2)Oc2cc(O)ccc21,100.0
57,COc1ccc(/C=C/C(=O)c2ccc(Br)cc2)cc1,100.0
58,CN(C)c1ccc(/N=C/c2ccccn2)cc1,100.0
59,Cc1nccc2c1[nH]c1cc(OCc3ccc4ccccc4c3)ccc12,100.0
60,COc1cccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccccc2O)c1,100.0
61,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccco2)cc1,110.0
62,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2cccs2)cc1,130.0
63,Cc1ccc(/C=C/C(=O)c2cc(Br)ccc2O)cc1,130.0
64,Cc1cccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccc(O)cc2)c1,130.0
65,CSc1ccc(C[C@H](C)N)cc1,133.0
66,Cc1ccc(/C=C/C(=O)c2cc(Cl)ccc2O)cc1,140.0
67,O=C1Nc2ccc(-c3ccccc3)cc2C1=O,148.0
68,N=C(N)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,150.0
69,Cc1cccc(/C=C/C(=O)c2ccc(Cl)cc2)c1,160.0
70,NNCCc1ccccc1,163.0
71,COc1ccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccccc2O)cc1,170.0
72,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,180.0
73,Cn1c(=O)c2c(nc(OCc3cccc(F)c3)n2C)n(C)c1=O,180.0
74,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccncc2)cc1,180.0
75,CN(C)c1ccc(NCc2ccccn2)cc1,190.0
76,O=C1NC(=O)c2cc(Oc3ccc4ccccc4c3)ccc21,200.0
77,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)nc1,205.45
78,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,220.0
79,Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,225.13
80,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2snnc2C)cc1,240.0
81,COc1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,240.0
82,Cc1ccc(/C=C/C(=O)c2ccc(Cl)cc2)cc1,240.0
83,O=C(Oc1ccccc1)N1N=C(c2ccccc2O)CC1c1ccccc1,250.0
84,Cc1ccccc1NC(=S)N1N=C(c2ccccc2)CC1c1ccccc1O,250.0
85,Cc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,250.27
86,Cc1nccc2c1[nH]c1cc(OCCN3CCOCC3)ccc12,255.7
87,c1ccc2c(c1)[nH]c1cnccc12,260.0
88,Clc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,281.19
89,O=C1NC(=O)c2cc(Oc3ccc(Br)cc3)ccc21,285.0
90,O=C1NC(=O)c2cc(OCCc3ccc(Br)cc3)ccc21,285.0
91,COc1cc(C2=NN(C(=O)Oc3ccccc3)C(c3ccccc3)C2)ccc1O,290.0
92,Cc1ccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccccc2O)cc1,290.0
93,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(-c2cccnc2)c(F)c1,300.0
94,NC(=O)N1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,300.0
95,Cc1cccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccccc2O)c1,300.0
96,COc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,301.11
97,Cc1ccccc1NC(=S)N1N=C(c2ccccc2)CC1c1ccc(O)cc1,310.0
98,COc1ccccc1NC(=S)N1N=C(c2ccccc2)CC1c1ccccc1O,310.0
99,COc1ccc(C2CC(c3ccccc3O)=NN2C(=O)Oc2ccccc2)cc1,310.0
100,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,332.41
101,Cc1ccc(C2CC(c3ccccc3)=NN2C(N)=S)cc1,333.0
102,COc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,340.0
103,COc1cccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccc(O)cc2)c1,350.0
104,Cc1ccc(NC(=S)N2N=C(c3ccccc3)CC2c2ccc(O)cc2)cc1,360.0
105,O=c1oc2cc(OCc3ccc(Cl)cc3)ccc2s1,360.0
106,Cc1ccc(C2CC(c3ccccc3)=NN2C(=N)N)cc1,400.0
107,Cc1cc(-c2ccc(N3C[C@H](CNc4ccon4)OC3=O)cc2F)on1,420.0
108,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,422.0
109,CCOC(=O)N1N=C(c2ccc(O)c(OC)c2)CC1c1ccccc1,440.0
110,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccco2)cc1,450.0
111,NC(=S)N1N=C(c2ccccc2)CC1c1ccncc1,456.0
112,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc21,460.0
113,Cn1c(=O)c2c(nc(OCc3ccc(Br)cc3)n2C)n(C)c1=O,460.0
114,Cn1c(=O)c2c(nc(OCc3ccc(Cl)cc3)n2C)n(C)c1=O,470.0
115,Cc1ccc(C2CC(c3ccccc3)=NN2C(N)=O)cc1,490.0
116,Cc1nccc2c1[nH]c1cc(OCc3ccccn3)ccc12,500.0
117,NC1CC1c1ccc(NC(=O)OCc2ccccc2)cc1,500.0
118,O=C1O[C@@H](Cn2cc(F)nn2)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,500.0
119,COc1cc(C2=NN(C(=S)Nc3ccccc3)C(c3ccccc3)C2)ccc1O,550.0
120,COc1ccc(C(=O)/C=C/c2ccc(C)cc2)cc1,560.0
121,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O,577.0
122,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,580.0
123,Cn1c(=O)c2c(nc(OCc3ccccc3)n2C)n(C)c1=O,590.0
124,Cc1ccc([C@H]2CC(c3cc(Cl)ccc3O)=NN2C(=O)c2ccncc2)cc1,600.0
125,Cc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1,600.0
126,CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(OC)cc1,610.0
