,smiles,docking_score
0,O=C1c2ccccc2-c2nnc(c3ccc4ccccc4c3)cc12,-13.39205
1,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O,-12.5374
2,O=c1oc2cc(NCc3ccccc3O)ccc2c2c1CCC2,-12.41651
3,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(F)c4)cc3)ccc12,-12.37604
4,CC(=O)c1ccc(c2cc3c(-c4ccccc4C3=O)nn2)cc1,-12.36055
5,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12,-12.349210000000001
6,Cn1c(=O)c2c(cc(OCc3ccc4ccccc4c3)n2C)n(C)c1=O,-12.341289999999999
7,Cc1ccc2oc(=O)c(c3cccc4ccccc34)cc2c1,-12.33859
8,O=C1c2ccccc2-c2nnc(c3ccc(C(F)(F)F)cc3)cc12,-12.32722
9,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O,-12.32071
10,O=c1oc2cc(NCc3ccccc3O)ccc2c2c1CCCC2,-12.30012
11,Cc1cc(C)cc(NC(=O)c2cc3ccccc3oc2=O)c1,-12.273010000000001
12,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2,-12.24732
13,N[C@H]1CC[C@@H](N[C@@H]2C[C@H]2c2ccc(c3cccc(C(F)(F)F)c3)cc2)CC1,-12.21653
14,C#CCNC1CCc2c(OCc3ccc4ccccc4c3)cccc12,-12.212589999999999
15,Cc1ccc2oc(=O)c(c3ccc(OCc4ccccc4)cc3)cc2c1,-12.194560000000001
16,O=c1cc(c2ccccc2)c2ccc(OCc3ccccc3)cc2o1,-12.16809
17,Cc1ccc2oc(=O)c(c3ccc(OCc4cccc(F)c4)cc3)cc2c1,-12.15367
18,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccccc4F)cc3)ccc12,-12.10558
19,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1C,-12.0945
20,Cc1ccc2oc(=O)c(c3cccc(OCc4cccc(F)c4)c3)cc2c1,-12.09034
21,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccccc3oc2=O)c(F)c1F,-11.98812
22,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc(F)cc4)cc3)ccc12,-11.98318
23,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,-11.96366
24,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O,-11.961210000000001
25,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)c(C)c1,-11.95739
26,O=C1NC(=O)c2cc(Oc3ccc4ccccc4c3)ccc12,-11.95247
27,O=C1c2ccccc2-c2nnc(c3cccc(C(F)(F)F)c3)cc12,-11.94806
28,Cc1ccc2oc(=O)c(c3cccc(OC(=O)c4ccccc4)c3)cc2c1,-11.90375
29,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,-11.89746
30,O=C(Nc1c(F)c(F)c(F)c(F)c1F)c1cc2ccccc2oc1=O,-11.89179
31,Cc1cn(c2ccc3nc(c4ccc5c(c4)OCO5)ncc3c2)cn1,-11.86778
32,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1C,-11.84062
33,Cc1ccc2oc(=O)c(c3c[nH]c4ccccc34)cc2c1,-11.83712
34,Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(Cl)c(Cl)c2)n(C)c1=O,-11.82516
35,Cc1ccc2oc(=O)c(c3cccc(OCc4ccccc4)c3)cc2c1,-11.81863
36,O=C1CCCc2cc(OCc3ccc(C(F)(F)F)cc3)ccc12,-11.78914
37,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,-11.78615
38,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,-11.73707
