,smiles,ic50
0,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,0.013999999999999999
1,C#CCN(C)[C@H](C)Cc1ccccc1,0.017
2,O=C(O)c1coc2ccccc2c1=O,0.048
3,Cc1ccc2oc(=O)c(-c3cccc(Br)c3)cc2c1,0.134
4,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ccc2c1,0.22699999999999998
5,Cc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1,0.3085
6,O=C1CCc2cc(OCCCC(F)(F)F)ccc21,0.318
7,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,0.386
8,O=c1ccc2ccc(OCc3ccc(Br)cc3)cc2o1,0.5
9,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1,0.586
10,COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,0.588
11,Clc1ccc(/N=C/c2ccc3[nH]ncc3c2)cc1Cl,0.612
12,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O,0.66
13,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,0.662
14,O=C(Nc1ccc(Cl)c(F)c1)c1ccc2[nH]ncc2c1,0.6679999999999999
15,O=C(Nc1ccc(F)c(Cl)c1)c1ccc2[nH]ncc2c1,0.679
16,COc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1Br,0.74
17,C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,0.77
18,Cc1c(Cl)c(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,0.8
19,COc1cccc(-c2cc3cc(C)ccc3oc2=O)c1,0.8
20,CCCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,0.875
21,Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O,0.9
22,Cc1cc(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,0.9
23,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2,0.912
24,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,0.912
25,Cn1ncc2cc(/C=N/c3ccc(Cl)c(Cl)c3)ccc21,1.03
26,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,1.072
27,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,1.08
28,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O,1.0959999999999999
29,Cc1c(C)c2ccc(OCc3ccc(F)c(F)c3)cc2oc1=O,1.1
30,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12,1.122
31,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O,1.122
32,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3,1.18
33,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1.202
34,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(Br)cc3)ccc12,1.3
35,CC(=O)c1ccc(OCc2cccc(Cl)c2)cc1O,1.3
36,COc1ccc(-c2cc3cc(Br)cc(OC)c3oc2=O)cc1,1.35
37,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,1.38
38,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,1.38
39,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21,1.4
40,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,1.4
41,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,1.41
42,COC(=O)c1cc2ccc(OCCc3ccc(Cl)cc3)cc2oc1=O,1.41
43,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O,1.413
44,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1,1.44
45,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,1.479
46,C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C,1.49
47,COc1ccc2oc(=O)c(-c3ccc(C)cc3)cc2c1,1.52
48,Cn1ncc2cc(C(=O)Nc3ccc(F)c(F)c3)ccc21,1.52
49,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O,1.5490000000000002
50,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,1.585
51,O=C(Nc1ccc(F)c(F)c1)c1ccc2[nH]ncc2c1,1.59
52,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O,1.6219999999999999
53,O=C(COc1cccc(Cl)c1)Nc1nc2ccccc2c(=O)s1,1.63
54,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1.66
55,O=c1ccc2ccc(OCc3ccccc3)cc2o1,1.6980000000000002
56,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1cccnc1,1.7
57,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2,1.778
58,O=C1OCc2ccc(OCc3ccc(I)cc3)cc21,1.8
59,Cc1c(C#N)c(=O)oc2cc(OCc3ccccc3)ccc12,1.9
60,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O,1.95
61,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,2.0
62,O=c1ccoc2ccc(OCc3cccc(Br)c3)cc12,2.0
63,O=c1ccoc2ccc(OCc3ccc(Cl)cc3)cc12,2.0
64,O=c1ccoc2ccc(OCc3ccc(C(F)(F)F)cc3)cc12,2.0
65,O=C(CCc1ccccc1Br)Nc1nc2ccccc2c(=O)s1,2.09
66,C/C(=N/Nc1nc(-c2ccc(C#N)cc2)cs1)c1cccnc1,2.09
67,Cc1ccc2oc(=O)c(-c3ccc([N+](=O)[O-])cc3)cc2c1,2.1
68,Cc1c(Cl)c(=O)oc2cc(OCc3ccccc3)ccc12,2.1
69,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,2.138
70,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,2.2
71,Cc1ccc2oc(=O)c(-c3cccc(N)c3)cc2c1,2.2
72,Cc1c(C#N)c(=O)oc2cc(OCc3ccc(F)cc3)ccc12,2.2
73,Cn1ccc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,2.26
74,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O,2.344
75,O=C1OCc2ccc(OCc3ccc(Br)cc3)cc21,2.4
76,C/C(=N/Nc1nc(-c2ccc(F)cc2)cs1)c1ccncc1,2.54
77,C#CCCCCOc1ccc2ccc(=O)oc2c1,2.62
78,COc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1OC,2.73
79,O=C(Nc1cc(Cl)cc(Cl)c1)c1ccc2[nH]ncc2c1,2.75
80,O=C(O)c1coc2ccc(OCc3cccc(Br)c3)cc2c1=O,2.8
81,O=C1OCc2ccc(OCc3ccc(Cl)cc3)cc21,2.8
82,CC(=O)c1ccc(OCc2cccc(F)c2)cc1O,2.8
83,O=C1CCc2ccc(OCc3ccc(Br)cc3)cc2N1,2.9
84,O=C1CCc2ccc(OCc3cccc(Br)c3)cc2N1,2.9
85,O=C(Nc1ccc(Cl)cc1)c1coc2ccccc2c1=O,2.9
86,C[C@@H]1CC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,2.91
87,C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,2.96
88,CC(=O)c1ccc(OCc2ccc(F)cc2)cc1O,3.0
89,O=c1oc2cc(OCc3ccc(Cl)cc3)ccc2s1,3.0
90,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1,3.0
91,C/C(=N/Nc1nc(-c2ccc(F)cc2F)cs1)c1cccs1,3.01
92,NNC(=O)c1cc2ccccc2oc1=O,3.22
93,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,3.236
94,COc1cc(-c2cc3cc(C)ccc3oc2=O)ccc1Br,3.25
95,O=c1ccoc2ccc(OCc3ccc(Br)cc3)cc12,3.3
96,COc1ccc(NC(=O)c2ccc3[nH]ncc3c2)cc1Cl,3.42
97,O=C1OCc2ccc(OCc3cccc(Br)c3)cc21,3.5
98,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,3.548
99,N[C@H]1C[C@]1(F)c1ccccc1,3.6
100,O=c1ccoc2ccc(OCc3cccc(Cl)c3)cc12,3.6
101,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O,3.6310000000000002
102,O=Cc1coc2ccc(OCc3cccc(Br)c3)cc2c1=O,3.7
103,Fc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,3.802
104,COc1cccc(-c2csc(N/N=C(\C)c3cccnc3)n2)c1,3.81
105,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O,3.89
106,COc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1,3.94
107,O=c1oc2cc(OCc3cccc(Cl)c3)ccc2s1,4.0
108,CC(=O)c1ccc(OCc2ccc(Br)cc2)cc1O,4.0
109,CC(=O)c1ccc(OCc2cccc(Br)c2)cc1O,4.0
110,C#CCN[C@@H]1CCc2ccccc21,4.0
111,O=C1COC(c2ccc(/N=N/c3ccccc3)cc2)=NN1,4.0
112,Cc1ccc2oc(=O)c(-c3ccc(N)cc3)cc2c1,4.1
113,C#CCNCc1cc2cc(OCc3ccccc3)ccc2[nH]1,4.1
114,Cc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1,4.2
115,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O,4.266
116,COc1cc(NC(=O)c2ccc3[nH]ncc3c2)ccc1Cl,4.36
117,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,4.4
118,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,4.4
119,CC1CC(=O)c2cnc(Nc3ccc(C#N)cc3)nc2C1,4.5
120,O=C1CCCc2cc(OCc3ccc(I)cc3)ccc21,4.5
121,O=C1NC(=O)c2cc(SCc3ccccc3)ccc21,4.5
122,O=C1CCCc2cc(OCc3cccc(I)c3)ccc21,4.5
123,COc1ccc(C(=O)/C=C/C=C/c2ccc(Cl)cc2)c(O)c1,4.51
124,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21,4.571000000000001
125,N#Cc1ccc(OCc2ccc(Br)cc2)cc1C#N,4.8
126,NC/C(=C/F)CCc1ccc(F)cc1,5.0
127,Cc1ccc(COc2ccc3sc(=O)oc3c2)cc1,5.0
128,C#CCN(C)[C@H](C)Cc1ccc(OCc2ccccc2)cc1,5.0
129,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21,5.012
130,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,5.012
131,C[C@@H]1CC/C(=N\Nc2nc(-c3ccc(F)cc3F)cs2)C1,5.06
132,Cc1ccc2oc(=O)c(C(=O)Nc3cccc(Cl)c3)cc2c1,5.07
133,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,5.18
134,Cc1ccc(/C=C2\Cc3cc(O)ccc3C2=O)cc1,5.2
135,C/C(=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)C1CC1,5.3
136,O=C1/C(=C/c2ccc(Br)cc2)Cc2cc(O)ccc21,5.3
137,C[C@@H]1CCC(=NNc2nc(-c3ccc(F)cc3F)cs2)C1,5.32
138,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,5.37
139,O=C(Nc1cnc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1,5.42
140,C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1,5.5
141,O=C1NC(=O)c2cc(SCc3ccc(Cl)cc3)ccc21,5.6
142,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21,5.622999999999999
143,O=C1CC(O)Oc2ccc(OCc3cccc(Br)c3)cc21,5.7
144,CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,5.7
145,COc1ccc2oc(=O)c(C(=O)Nc3ccccc3)cc2c1,5.95
146,Cc1ccc2oc(=O)c(-c3cccc([N+](=O)[O-])c3)cc2c1,6.0
147,O=C1CCCc2cc(OCc3ccc(C(F)(F)F)cc3)ccc21,6.0
148,Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,6.0
149,CC1CCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,6.16
150,O=C1OCc2ccc(OCCCc3ccccc3)cc21,6.2
151,O=C1CCc2ccc(OCc3cccc(Cl)c3)cc2N1,6.2
152,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21,6.31
153,O=C1OCc2ccc(OCc3ccc(F)cc3)cc21,6.4
154,O=C1OCc2cc(OCc3ccc(C(F)(F)F)cc3)ccc21,6.41
155,NNC(N)=O,6.7
156,O=C1NC(=O)c2cc(SCc3ccc(F)cc3)ccc21,6.8
157,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc21,6.9
158,O=C1CCCc2cc(OCc3ccc(Cl)cc3)ccc21,7.0
159,C[C@]1(N)C[C@@H]1c1ccccc1,7.0
160,CCOC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,7.01
161,C/C(=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)C1CCCCC1,7.2
162,O=C1OCc2ccc(OCCOc3ccc(F)cc3)cc21,7.4
163,O=C1NC(=O)c2cc(SCc3ccc(Br)cc3)ccc21,7.4
164,Cc1cccc(NC(=O)c2cc3cc(C)ccc3oc2=O)c1,7.52
165,CC(C)NNC(=O)c1ccncc1,7.54
166,CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)O[C@@H]1c1ccc(Cl)c(Cl)c1,7.61
167,N#Cc1ccc(OCc2ccccc2)cc1C#N,7.9
168,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,7.943
169,Cc1ccc(Nc2ncc3c(n2)CC(C)CC3=O)cc1,7.98
170,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,8.0
171,O=c1ccoc2cc(OCc3ccc(C(F)(F)F)cc3)ccc12,8.0
172,O=C1CCCc2cc(OCc3ccc(F)cc3)ccc21,8.0
173,Cn1cc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc2n1,8.08
174,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21,8.128
175,C#CCN(C)Cc1ccccc1,8.2
176,CC1CCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,8.31
177,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21,8.318
178,O=C1OCc2cc(OCc3ccc(F)cc3)ccc21,8.35
179,O=c1ccoc2ccc(OCc3ccc(F)cc3)cc12,8.4
180,CN(C)c1ccc(/C=C2\COc3ccccc3C2=O)cc1,8.51
181,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21,8.511000000000001
182,O=[N+]([O-])c1cccc(-c2csc(NN=C3CCCCCC3)n2)c1,8.6
183,O=C1CCOc2cc(OCc3ccc(F)cc3)ccc21,8.6
184,O=C1/C(=C/c2ccc(O)cc2)COc2cc(O)cc(O)c21,8.61
185,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O,8.71
186,COc1cc(OC)cc(-c2cc3cc(C)ccc3oc2=O)c1,8.98
187,O=C1CCCc2cc(OCc3cccc(Br)c3)ccc21,9.0
188,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,9.0
189,NCCc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,9.0
190,Cc1ccc(COc2ccc3c(c2)C(=O)OC3)cc1,9.0
191,O=C1CCCc2cc(OCc3ccc(Br)cc3)ccc21,9.0
192,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,9.0
193,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O,9.0
194,COc1ccc2oc(=O)c(C(=O)Nc3cccc(Cl)c3)cc2c1,9.03
195,CC1CCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,9.13
196,COc1ccc2c(c1)C/C(=C\c1ccccc1)C2=O,9.2
197,CC1CC/C(=N\Nc2nc(-c3ccc(F)cc3F)cs2)C1,9.34
198,CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)OC1c1ccc(Cl)c(Cl)c1,9.46
199,CCOC(=O)c1cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2oc1=O,9.47
200,Cc1ccc(C2CC(c3ccccc3)=NN2C)cc1,9.6
201,Cc1sc2nc(NC(=O)CCCc3ccccc3)sc(=O)c2c1C,9.8
202,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,9.8
203,CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,10.0
204,O=[N+]([O-])c1cccc(-c2csc(NN=C3CCCCCCC3)n2)c1,10.0
205,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,10.0
206,O=C(Cl)c1cc2cc(Cl)ccc2oc1=O,10.0
207,NC/C=C(/F)COc1ccc([N+](=O)[O-])cc1,10.0
208,C[C@@]1(N)C[C@H]1c1ccccc1,10.0
209,CC1(C)CC(=O)c2ccc(OCc3ccc(F)cc3)cc2O1,10.26
210,COc1ccc2occ(C(=O)Nc3ccc(Cl)cc3)c(=O)c2c1,10.31
211,CC(=O)c1cccc(OCc2ccc(Cl)cc2)c1,10.52
212,CN(C)c1ncc(/C=C2\COc3cc(Cl)cc(Cl)c3C2=O)cn1,10.58
213,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21,10.96
214,O=C1OCc2ccc(OCCOc3ccc(Cl)cc3)cc21,11.0
215,Cc1ccc(COc2ccc3c(c2)CCCC3=O)cc1,11.0
216,N#Cc1ccc(COc2ccc3c(c2)CCCC3=O)cc1,11.0
217,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,11.0
218,Cc1ccc2oc(=O)c(C(=O)Nc3ccc(Cl)cc3)cc2c1,11.08
219,O=C(CCc1ccccc1F)Nc1nc2ccccc2c(=O)s1,11.2
220,O=C(/C=C/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,11.35
