,smiles,ki
0,C#CCN(C)[C@H](C)Cc1ccc(OCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.129
1,Cn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,0.17
2,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O,0.28
3,Cn1ncc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc21,0.29
4,O=[N+]([O-])c1cccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c1,0.31
5,Cc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1C,0.31
6,O=C1OCc2ccc(OCc3ccc(C(F)(F)F)cc3)cc21,0.46
7,COCCn1ncc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc21,0.48
8,C(/C=C/c1ccccc1)=C\c1ccccc1,0.6
9,Cn1cc2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2n1,0.64
10,O=[N+]([O-])c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,1.15
11,Cc1ccc2oc(=O)c(C(=O)Nc3cccc(Cl)c3)cc2c1,1.17
12,COc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,1.7
13,Clc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,1.8
14,Cc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1,2.69
15,O=C1CCc2ccc(OCc3cccc(Br)c3)cc2N1,2.7
16,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc21,3.0
17,C#CCN(C)[C@H](C)Cc1ccccc1,3.3
18,O=c1oc2cc(OCc3ccc(Cl)cc3)ccc2s1,3.5
19,Cc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,3.56
20,Cn1cc2cc(C(=O)Nc3ccc(F)c(Cl)c3)ccc2n1,3.57
21,NCCNC(=O)c1ccc(Cl)cn1,3.9
22,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O,4.0
23,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,4.21
24,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,5.4
25,Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c(O)c1,5.54
26,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)nc1,5.75
27,Cl.NCCc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,6.88
28,O=C1NC(=O)c2cc(OCCc3ccccc3)ccc21,7.0
29,O=C1CCCc2cc(OCc3cccc(I)c3)ccc21,7.1
30,C/C(=N/Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)C1CC1,7.3
31,Oc1ccccc1C1CC(c2c3ccccc3cc3ccccc23)=NN1,7.35
32,O=C(Nc1cccc(Cl)c1)c1coc2ccccc2c1=O,7.5
33,Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,7.51
34,C#CCN[C@@H]1CCc2ccccc21,7.6
35,Cn1c(=O)c2c(nc(SCCc3ccc(Cl)cc3)n2C)n(C)c1=O,9.8
36,O=C1NC(=O)c2cc(Oc3ccc4ccccc4c3)ccc21,10.0
37,Cc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,16.0
38,O=C1NC(=O)c2cc(OCc3ccccc3)ccc21,19.0
39,O=C1NC(=O)c2cc(OC/C=C/c3ccccc3)ccc21,20.0
40,O=C1NC(=O)c2cc(OCCCc3ccccc3)ccc21,20.0
41,C#CCN(C)Cc1ccccc1,20.3
42,C#CN(C)Cc1ccc(CC(=O)NC2CC(C)(C)N([O])C(C)(C)C2)cc1,22.0
43,O=C1NC(=O)c2cc(Oc3ccc(Br)cc3)ccc21,24.0
44,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1,26.0
45,O=C(Nc1cccc(Br)c1)c1coc2ccccc2c1=O,27.0
46,CN(C)c1ccc(NCc2ccccn2)cc1,28.0
47,NC/C(=C/F)CCc1ccc(F)cc1,28.0
48,O=C1Nc2ccc(Oc3ccc(Cl)cc3)cc2C1=O,28.0
49,O=C1NC(=O)c2cc(OCCc3ccc(Br)cc3)ccc21,29.0
50,Cc1cc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2[nH]1,30.0
51,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccccc1C,30.0
52,O=C(Nc1cccc(F)c1)c1coc2ccccc2c1=O,31.0
53,C#CCN(C)c1nc2nc(CCC3CCN(Cc4ccccc4)CC3)ccc2c(-c2ccccc2)c1C#N,32.0
54,NCCNC(=O)c1ccc(Cl)cc1,32.2
55,O=C1Nc2ccccc2C1=O,33.0
56,C(=C/Cc1ccccc1)\Cc1ccccc1,35.0
57,CN1C(=O)C2C(N=C(/C=C/c3ccc(Cl)c(Cl)c3)N2C)N(C)C1=O,36.0
58,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1cccc(C)c1,38.0
59,c1ccc(COc2ccc(C3CNCCS3)cc2)cc1,38.0
60,CN(C)c1ccc(/N=C/c2ccccn2)cc1,40.0
61,Brc1cccc(COc2ccc3c(c2)OCCO3)c1,41.0
62,O=C1Nc2ccc(OCc3ccccc3)cc2C1=O,44.0
63,Cn1c(=O)c2c(nc(OCc3ccc(Br)cc3)n2C)n(C)c1=O,45.0
64,O=C1CSC(c2ccc(OCc3ccccc3)cc2)CN1,48.0
65,Cn1c(=O)c2c(nc(OCc3ccc(Cl)cc3)n2C)n(C)c1=O,48.0
66,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,49.0
67,O=C1Nc2cc(OCc3ccccc3)ccc2C1=O,59.0
68,C#CCN(C)CC(=C)c1ccccc1.Cl,60.0
69,O=c1[nH]c(SCc2cccc(I)c2)nc2ccccc12,68.0
70,CCCCOc1ccc(C2CNCCS2)cc1,68.0
71,Cn1c(=O)c2c(nc(OCc3cccc(Br)c3)n2C)n(C)c1=O,68.0
72,CN(C)c1ccc(/N=N/c2ccccn2)cc1,70.0
73,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,70.0
74,CN1C(=O)C2C(N=C(/C=C/c3cccc(Br)c3)N2C)N(C)C1=O,83.0
75,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O,88.0
76,NNCCc1ccccc1,94.0
77,CNCc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,100.0
78,Cc1cc2c(nn1)-c1cc(OCc3cccc(Cl)c3)ccc1C2=O,110.0
79,CCCOc1ccc(C2CNCCS2)cc1,130.0
80,Cn1c(=O)c2c(nc(OCCOc3ccc(Cl)cc3)n2C)n(C)c1=O,130.0
81,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,140.0
82,O=C(/C=C/c1ccc(Cl)o1)c1cccc(Cl)c1,144.0
